FSC_A	FSC_H	FSC_W	SSC_A	SSC_H	SSC_W	CD34	CD43	CD38	CD90	CD49f	CD31	CD45RA	FLK1	CD73
150494.515625	84891	116182.0234375	93582.609375	66747	91884.7265625	2.10764581394165	1.9439888826128	1.52251675227598	4.74908986173616	3.69704578604951	1.73175484109615	2.26942368399871	2.36225815606263	2.62867155248713
122560.5625	79890	100539.8515625	63779.86328125	50210	83247.90625	0.573213188505285	1.89442687007573	2.1214140704465	4.58600966706283	3.31077116150829	2.17534000489513	1.94521302132175	2.35788082082212	2.41890583161912
97350.71875	61267	104133.984375	61593.93359375	49463	81608.8828125	1.51321273230634	1.89442687007573	1.9827425892062	3.93954352258884	2.39854239098791	1.41713874559262	2.20272039438839	1.88188012536989	1.05229388332509
151593	92757	107105.65625	90349.9296875	63509	93233.6171875	1.83454328869648	1.7684161028999	1.28254587257496	4.70893651268369	3.56137008433933	1.73908811210023	1.25390063600014	2.43634454724451	2.2390581220555
125678.671875	83702	98402.40625	74508.0625	56854	85885.9609375	1.90888774596263	1.92402072415533	1.10966880998165	4.6018525889508	3.41956804810501	1.82486278628167	1.16449767499393	2.37791931984255	2.61770872661058
168159.90625	97450	113089.0546875	109958.5234375	74794	96347.8671875	1.33969566210484	2.08307241885224	2.35674146488662	4.8621879423335	3.71218689482559	1.96993698813724	1.19915309333251	2.32893843187382	2.63630893658236
148652.90625	96618	100831.28125	71332.265625	50058	93388.3046875	1.04174718127203	2.03834194700065	1.67329819351457	4.74832429625662	3.55532842702266	1.94077489808484	1.58406195050273	2.36700259294398	2.48619608612063
102640.953125	71230	94436.0234375	44303.9921875	36606	79317.7734375	1.81107309007399	1.75656004416745	1.98006121815906	4.10952162100099	2.75826023836667	1.92488371776937	1.95294682882158	2.34288479465463	2.04498075948591
167094.546875	109672	99849.625	84118.4140625	66216	83254.5703125	0.23120376633608	1.87198136096227	0.0448440498978662	4.47802325697918	3.38570555335107	0.585367029805853	1.99805559776894	2.13884769756378	2.18401651958366
118655.8515625	82135	94676.203125	44744.8125	35991	81475.8125	1.60377016738508	1.92808848781756	1.46009155351507	4.39358538537774	3.31767034172606	1.15406043772425	2.02483581035149	2.1087244071984	2.51215180384502
184496.34375	105294	114832.3125	104190.734375	74858	91215.9609375	2.03762224867989	2.02881517232745	1.68782665746324	4.7012457152486	3.55185846215878	0.690933890370077	2.52144088263768	2.43409583030355	2.62032484156116
114787.7109375	74395	101118.7265625	61808.8125	47807	84730.3203125	0.0948821317224015	1.78561453146072	1.89171047363035	4.5922192803565	3.4782315510523	1.4110629521774	0.932818136684415	2.10935428714782	2.54269372178132
